Series_ID,Region_Name,Region_Code,2021_April
NYCATT0URN,"Cattaraugus County, NY",36009,6.1
NDCAVA9URN,"Cavalier County, ND",38019,3.2
NYCAYU5URN,"Cayuga County, NY",36011,5.4
MDCECI0URN,"Cecil County, MD",24015,5
IACEDA1URN,"Cedar County, IA",19031,3.6
NECEDA7URN,"Cedar County, NE",31027,1.7
MOCEDA9URN,"Cedar County, MO",29039,2.8
PACENT0URN,"Centre County, PA",42027,4.1
IACERR3URN,"Cerro Gordo County, IA",19033,4.1
COCHAF5URN,"Chaffee County, CO",8015,4.8
TXCHAM1URN,"Chambers County, TX",48071,9.2
ALCHAM7URN,"Chambers County, AL",1017,3.1
ILCHAM9URN,"Champaign County, IL",17019,5
OHCHAM1URN,"Champaign County, OH",39021,3.8
MOCHAR1URN,"Chariton County, MO",29041,3.1
MDCHAR0URN,"Charles County, MD",24017,5.9
VACHAR6URN,"Charles City County, VA",51036,4.6
SDCHAR3URN,"Charles Mix County, SD",46023,3.8
SCCHAR9URN,"Charleston County, SC",45019,3.9
MICHAR9URN,"Charlevoix County, MI",26029,6.2
VACHAR7URN,"Charlotte County, VA",51037,3.8
FLCHAR5URN,"Charlotte County, FL",12015,4.8
VACHAR0URN,"Charlottesville City, VA",51540,3.6
GACHAR9URN,"Charlton County, GA",13049,2.8
KSCHAS7URN,"Chase County, KS",20017,2.1
NECHAS9URN,"Chase County, NE",31029,1.3
GACHAT9URN,"Chatham County, GA",13051,4.3
NCCHAT7URN,"Chatham County, NC",37037,3.1
GACHAT3URN,"Chattahoochee County, GA",13053,4
GACHAT5URN,"Chattooga County, GA",13055,4.7
KSCHAU9URN,"Chautauqua County, KS",20019,4.6
NYCHAU5URN,"Chautauqua County, NY",36013,6.4
NMCHAV5URN,"Chaves County, NM",35005,7.4
TNCHEA1URN,"Cheatham County, TN",47021,3.4
MICHEB1URN,"Cheboygan County, MI",26031,11.5
WACHEL7URN,"Chelan County, WA",53007,6.5
NYCHEM2URN,"Chemung County, NY",36015,6
NYCHEN7URN,"Chenango County, NY",36017,5.3
IACHER5URN,"Cherokee County, IA",19035,2.9
OKCHER1URN,"Cherokee County, OK",40021,4.2
TXCHER3URN,"Cherokee County, TX",48073,6.8
ALCHER9URN,"Cherokee County, AL",1019,2.1
NCCHER9URN,"Cherokee County, NC",37039,4.5
KSCHER1URN,"Cherokee County, KS",20021,2.9
GACHER5URN,"Cherokee County, GA",13057,2.5
SCCHER1URN,"Cherokee County, SC",45021,5.9
NECHER1URN,"Cherry County, NE",31031,1.6
VACHES7URN,"Chesapeake City, VA",51550,3.8
NHCHES5URN,"Cheshire County, NH",33005,3
PACHES5URN,"Chester County, PA",42029,4
TNCEURN,"Chester County, TN",47023,3.4
SCCHES3URN,"Chester County, SC",45023,6.4
SCCHES5URN,"Chesterfield County, SC",45025,5
VACHES5URN,"Chesterfield County, VA",51041,3.7
COCHEY7URN,"Cheyenne County, CO",8017,2.5
KSCHEY3URN,"Cheyenne County, KS",20023,1.7
NECHEY3URN,"Cheyenne County, NE",31033,2.8
IACHIC7URN,"Chickasaw County, IA",19037,3.3
MSCHURN,"Chickasaw County, MS",28017,6.3
ARCHURN,"Chicot County, AR",5017,9.5
TXCHIL5URN,"Childress County, TX",48075,3.6
ALCHIL1URN,"Chilton County, AL",1021,2.4
MICHIP3URN,"Chippewa County, MI",26033,6.4
WICHIP7URN,"Chippewa County, WI",55017,4.4
MNCHIP3URN,"Chippewa County, MN",27023,3.7
MNCHIS5URN,"Chisago County, MN",27025,4.3
VTCHIT0URN,"Chittenden County, VT",50007,2.4
OKCHOC3URN,"Choctaw County, OK",40023,5.5
MSCOURN,"Choctaw County, MS",28019,4.9
ALCHOC3URN,"Choctaw County, AL",1023,3.6
MTCHOU5URN,"Chouteau County, MT",30015,2.8
NCCHOW1URN,"Chowan County, NC",37041,4.5
MOCIURN,"Christian County, MO",29043,2.8
KYCHURN,"Christian County, KY",21047,4.3
ILCHRI1URN,"Christian County, IL",17021,5.5
NVCHUR1URN,"Churchill County, NV",32001,3.9
NMCIBO6URN,"Cibola County, NM",35006,9.8
OKCIMA5URN,"Cimarron County, OK",40025,1.7
FLCITR5URN,"Citrus County, FL",12017,6.2
ORCLAC5URN,"Clackamas County, OR",41005,5.9
LACLAI7URN,"Claiborne Parish, LA",22027,5.3
TNCLAI5URN,"Claiborne County, TN",47025,4.1
MSCLAI1URN,"Claiborne County, MS",28021,12.5
WACLAL0URN,"Clallam County, WA",53009,7.4
MICLAR5URN,"Clare County, MI",26035,7.3
SCCLAR7URN,"Clarendon County, SC",45027,5.2
PACLAR1URN,"Clarion County, PA",42031,5.6
ARCLURN,"Clark County, AR",5019,4.8
WICLAR9URN,"Clark County, WI",55019,3.7
MOCKURN,"Clark County, MO",29045,4
KSCLAR5URN,"Clark County, KS",20025,1.7
OHCLAR5URN,"Clark County, OH",39023,4.8
IDCLAR3URN,"Clark County, ID",16033,2.4
KYCLAR9URN,"Clark County, KY",21049,3.5
WACLAR1URN,"Clark County, WA",53011,6.4
NVCLAR3URN,"Clark County, NV",32003,9
ILCLAR3URN,"Clark County, IL",17023,5.2
INCLURN,"Clark County, IN",18019,3.8
SDCLAR5URN,"Clark County, SD",46025,3
MSCLAR3URN,"Clarke County, MS",28023,6.4
ALCLAR5URN,"Clarke County, AL",1025,5
VACLAR3URN,"Clarke County, VA",51043,3.7
GACLAR5URN,"Clarke County, GA",13059,3.6
IACLAR9URN,"Clarke County, IA",19039,3.8
ORCLAT7URN,"Clatsop County, OR",41007,7
